time,voltage,current,temperature
2017-03-28 23:04:17.300,13.3046463722,0.00854505226215,
2017-03-28 23:07:16.000,,,26.3103685054
2017-03-28 23:14:17.300,13.2853589685,0.00854505226215,
2017-03-28 23:17:16.000,,,26.1249713893
2017-03-28 23:24:17.300,13.2853589685,0.00717174029145,
2017-03-28 23:27:16.000,,,25.93728542
2017-03-28 23:34:17.300,13.2775463493,0.00717174029145,
2017-03-28 23:37:16.000,,,25.6855115587
2017-03-28 23:44:17.300,13.2621652552,0.00717174029145,
2017-03-28 23:47:16.000,,,25.4978255894
2017-03-28 23:54:17.300,13.2582589456,0.00854505226215,
2017-03-28 23:57:16.000,,,25.2483405814
2017-03-29 00:04:17.300,13.254352636,0.00854505226215,
2017-03-29 00:07:16.000,,,25.060654612
2017-03-29 00:14:17.300,13.2467841611,0.00709544518196,
2017-03-29 00:17:16.000,,,24.9370565347
2017-03-29 00:24:17.300,13.2389715419,0.0322728313115,
2017-03-29 00:27:16.000,,,24.7493705653
2017-03-29 00:34:17.300,13.2350652323,0.00717174029145,
2017-03-29 00:34:37.700,13.1269092851,0.00854505226215,
2017-03-29 00:34:37.800,13.1269092851,1.52491035325,
2017-03-29 00:34:37.900,13.1269092851,1.52353704128,
2017-03-29 00:35:37.900,12.8754406043,1.54047455558,
2017-03-29 00:36:37.900,12.8639658198,1.54474708171,
2017-03-29 00:37:16.000,,,24.6234836347
2017-03-29 00:37:37.900,12.8600595102,1.54619668879,
2017-03-29 00:38:37.900,12.8600595102,1.54047455558,
2017-03-29 00:39:37.900,12.8561532006,1.54329747463,
2017-03-29 00:40:37.900,12.852246891,1.53765163653,
2017-03-29 00:41:37.900,12.8446784161,1.53627832456,
2017-03-29 00:42:37.900,12.8446784161,1.53627832456,
2017-03-29 00:43:37.900,12.8407721065,1.53482871748,
2017-03-29 00:44:37.900,12.8329594873,1.53765163653,
2017-03-29 00:45:37.900,12.8329594873,1.53200579843,
2017-03-29 00:46:37.900,12.8290531777,1.5333791104,
2017-03-29 00:47:16.000,,,24.4998855573
2017-03-29 00:47:37.900,12.8329594873,1.53482871748,
2017-03-29 00:48:37.900,12.8214847028,1.5333791104,
2017-03-29 00:49:37.900,12.8214847028,1.53627832456,
2017-03-29 00:50:37.900,12.8136720836,1.52918287938,
2017-03-29 00:51:37.900,12.8175783932,1.53200579843,
2017-03-29 00:52:37.900,12.8136720836,1.53627832456,
2017-03-29 00:53:37.900,12.809765774,1.5333791104,
2017-03-29 00:54:37.900,12.8175783932,1.53627832456,
2017-03-29 00:55:37.900,12.8019531548,1.53345540551,
2017-03-29 00:56:37.900,12.8019531548,1.53627832456,
2017-03-29 00:57:16.000,,,24.4998855573
2017-03-29 00:57:37.900,12.7943846799,1.53627832456,
2017-03-29 00:58:37.900,12.7943846799,1.5333791104,
2017-03-29 00:59:37.900,12.7865720607,1.54047455558,
2017-03-29 01:00:37.900,12.7904783703,1.54047455558,
2017-03-29 01:01:37.900,12.7826657511,1.53765163653,
2017-03-29 01:02:37.900,12.7865720607,1.53482871748,
2017-03-29 01:03:37.900,12.7748531319,1.53627832456,
2017-03-29 01:04:37.900,12.7787594415,1.53765163653,
2017-03-29 01:05:37.900,12.7711909667,1.53490501259,
2017-03-29 01:06:37.900,12.7711909667,1.53627832456,
2017-03-29 01:07:16.000,,,24.312199588
2017-03-29 01:07:37.900,12.7711909667,1.5333791104,
2017-03-29 01:08:37.900,12.7672846571,1.53482871748,
2017-03-29 01:09:37.900,12.7711909667,1.53627832456,
2017-03-29 01:10:37.900,12.7594720378,1.53910124361,
2017-03-29 01:11:37.900,12.7555657282,1.54047455558,
2017-03-29 01:12:37.900,12.7633783474,1.53765163653,
2017-03-29 01:13:37.900,12.7555657282,1.53910124361,
2017-03-29 01:14:37.900,12.7516594186,1.53627832456,
2017-03-29 01:15:37.900,12.7440909438,1.54055085069,
2017-03-29 01:16:37.900,12.7401846342,1.5333791104,
2017-03-29 01:17:16.000,,,24.1863126574
2017-03-29 01:17:37.900,12.7516594186,1.53627832456,
2017-03-29 01:18:37.900,12.7362783246,1.53910124361,
2017-03-29 01:19:37.900,12.7401846342,1.5333791104,
2017-03-29 01:20:37.900,12.732372015,1.53765163653,
2017-03-29 01:21:37.900,12.732372015,1.53200579843,
2017-03-29 01:22:37.900,12.7284657053,1.54329747463,
2017-03-29 01:23:37.900,12.7284657053,1.54047455558,
2017-03-29 01:24:37.900,12.7208972305,1.5277332723,
2017-03-29 01:25:37.900,12.7208972305,1.54192416266,
2017-03-29 01:26:37.900,12.7208972305,1.53772793164,
2017-03-29 01:27:16.000,,,24.1245136187
2017-03-29 01:27:37.900,12.7169909209,1.53765163653,
2017-03-29 01:28:37.900,12.7130846113,1.54192416266,
2017-03-29 01:29:37.900,12.7130846113,1.53482871748,
2017-03-29 01:30:37.900,12.7091783017,1.53200579843,
2017-03-29 01:31:37.900,12.7052719921,1.53627832456,
2017-03-29 01:32:37.900,12.7052719921,1.53482871748,
2017-03-29 01:33:37.900,12.6977035172,1.5333791104,
2017-03-29 01:34:37.900,12.7016098268,1.54619668879,
2017-03-29 01:35:37.900,12.7052719921,1.53482871748,
2017-03-29 01:36:37.900,12.689890898,1.53627832456,
2017-03-29 01:37:16.000,,,24.1245136187
2017-03-29 01:37:37.900,12.6937972076,1.53910124361,
2017-03-29 01:38:37.900,12.689890898,1.53627832456,
2017-03-29 01:39:37.900,12.6820782788,1.53772793164,
2017-03-29 01:40:37.900,12.6859845884,1.53772793164,
2017-03-29 01:41:37.900,12.6859845884,1.54619668879,
2017-03-29 01:42:37.900,12.6820782788,1.54329747463,
2017-03-29 01:43:37.900,12.6820782788,1.54047455558,
2017-03-29 01:44:37.900,12.6784161135,1.53627832456,
2017-03-29 01:45:37.900,12.6745098039,1.53910124361,
2017-03-29 01:46:37.900,12.6666971847,1.54192416266,
2017-03-29 01:47:16.000,,,23.9368276493
2017-03-29 01:47:37.900,12.6706034943,1.53627832456,
2017-03-29 01:48:37.900,12.6666971847,1.53055619135,
2017-03-29 01:49:37.900,12.6706034943,1.53627832456,
2017-03-29 01:50:37.900,12.6627908751,1.5333791104,
2017-03-29 01:51:37.900,12.6552224002,1.53765163653,
2017-03-29 01:52:37.900,12.6588845655,1.53482871748,
2017-03-29 01:53:37.900,12.6552224002,1.5333791104,
2017-03-29 01:54:37.900,12.6552224002,1.53482871748,
2017-03-29 01:55:37.900,12.6552224002,1.53765163653,
2017-03-29 01:56:37.900,12.6513160906,1.54047455558,
2017-03-29 01:57:16.000,,,23.8109407187
2017-03-29 01:57:37.900,12.6356908522,1.54329747463,
2017-03-29 01:58:37.900,12.6435034714,1.53627832456,
2017-03-29 01:59:37.900,12.6395971618,1.53910124361,
2017-03-29 02:00:37.900,12.6395971618,1.53627832456,
2017-03-29 02:01:37.900,12.6317845426,1.5333791104,
2017-03-29 02:02:37.900,12.6395971618,1.53627832456,
2017-03-29 02:03:37.900,12.6281223774,1.53055619135,
2017-03-29 02:04:37.900,12.6242160678,1.53200579843,
2017-03-29 02:05:37.900,12.6242160678,1.53490501259,
2017-03-29 02:06:37.900,12.6281223774,1.53627832456,
2017-03-29 02:07:16.000,,,23.74914168
2017-03-29 02:07:37.900,12.6242160678,1.53482871748,
2017-03-29 02:08:37.900,12.6164034485,1.53055619135,
2017-03-29 02:09:37.900,12.6164034485,1.54047455558,
2017-03-29 02:10:37.900,12.6164034485,1.53765163653,
2017-03-29 02:11:37.900,12.6085908293,1.53482871748,
2017-03-29 02:12:37.900,12.6085908293,1.5277332723,
2017-03-29 02:13:37.900,12.6049286641,1.53910124361,
2017-03-29 02:14:37.900,12.6124971389,1.53482871748,
2017-03-29 02:15:37.900,12.6085908293,1.53200579843,
2017-03-29 02:16:37.900,12.6010223545,1.53200579843,
2017-03-29 02:17:15.900,12.5971160449,1.53482871748,23.6232547494
2017-03-29 02:17:42.000,12.5971160449,1.53055619135,23.74914168
2017-03-29 02:18:42.000,12.6010223545,1.53055619135,
2017-03-29 02:19:42.000,12.5932097353,1.53063248646,
2017-03-29 02:20:42.000,12.5971160449,1.53482871748,
2017-03-29 02:21:42.000,12.585397116,1.5333791104,
2017-03-29 02:22:42.000,12.5971160449,1.53482871748,
2017-03-29 02:23:42.000,12.585397116,1.52918287938,
2017-03-29 02:24:42.000,12.585397116,1.5333791104,
2017-03-29 02:25:42.000,12.5817349508,1.54047455558,
2017-03-29 02:26:42.000,12.5778286412,1.52918287938,
2017-03-29 02:27:42.000,12.5778286412,1.53765163653,23.6873426413
2017-03-29 02:28:42.000,12.570016022,1.53765163653,
2017-03-29 02:29:42.000,12.570016022,1.53482871748,
2017-03-29 02:30:42.000,12.5661097124,1.53200579843,
2017-03-29 02:31:42.000,12.5661097124,1.53055619135,
2017-03-29 02:32:42.000,12.5661097124,1.52918287938,
2017-03-29 02:33:42.000,12.5622034028,1.54047455558,
2017-03-29 02:34:42.000,12.5585412375,1.53482871748,
2017-03-29 02:35:42.000,12.5661097124,1.53055619135,
2017-03-29 02:36:42.000,12.5546349279,1.53627832456,
2017-03-29 02:37:42.000,12.5507286183,1.53482871748,23.499656672
2017-03-29 02:38:42.000,12.5507286183,1.54047455558,
2017-03-29 02:39:42.000,12.5546349279,1.53765163653,
2017-03-29 02:40:42.000,12.5468223087,1.53627832456,
2017-03-29 02:41:42.000,12.5429159991,1.53482871748,
2017-03-29 02:42:42.000,12.5468223087,1.53490501259,
2017-03-29 02:43:42.000,12.5353475242,1.53627832456,
2017-03-29 02:44:42.000,12.5390096895,1.52918287938,
2017-03-29 02:45:42.000,12.5353475242,1.54329747463,
2017-03-29 02:46:42.000,12.5314412146,1.53482871748,
2017-03-29 02:47:42.000,12.5314412146,1.54047455558,23.3119707027
2017-03-29 02:48:42.000,12.527534905,1.53627832456,
2017-03-29 02:49:42.000,12.527534905,1.54047455558,
2017-03-29 02:50:42.000,12.5236285954,1.53200579843,
2017-03-29 02:51:42.000,12.527534905,1.54192416266,
2017-03-29 02:52:42.000,12.5197222858,1.53910124361,
2017-03-29 02:53:42.000,12.5197222858,1.52353704128,
2017-03-29 02:54:42.000,12.5197222858,1.52635996033,
2017-03-29 02:55:42.000,12.5158159762,1.53910124361,
2017-03-29 02:56:42.000,12.5121538109,1.53482871748,
2017-03-29 02:57:42.000,12.5158159762,1.5333791104,23.3119707027
2017-03-29 02:58:42.000,12.5121538109,1.52780956741,
2017-03-29 02:59:42.000,12.5043411917,1.53063248646,
2017-03-29 03:00:42.000,12.5043411917,1.53482871748,
2017-03-29 03:01:42.000,12.4965285725,1.53910124361,
2017-03-29 03:02:42.000,12.5004348821,1.53063248646,
2017-03-29 03:03:42.000,12.5004348821,1.53627832456,
2017-03-29 03:04:42.000,12.4889600977,1.53910124361,
2017-03-29 03:05:42.000,12.4926222629,1.53627832456,
2017-03-29 03:06:42.000,12.4889600977,1.53482871748,
2017-03-29 03:07:42.000,12.4889600977,1.53765163653,23.186083772
2017-03-29 03:08:42.000,12.4811474784,1.53765163653,
2017-03-29 03:09:42.000,12.4811474784,1.53627832456,
2017-03-29 03:10:42.000,12.4811474784,1.53627832456,
2017-03-29 03:11:42.000,12.4772411688,1.53910124361,
2017-03-29 03:12:42.000,12.4772411688,1.53627832456,
2017-03-29 03:13:42.000,12.4811474784,1.53910124361,
2017-03-29 03:14:42.000,12.4733348592,1.54192416266,
2017-03-29 03:15:42.000,12.4694285496,1.53627832456,
